Subset,Variable,Exclude,Avg_mean,Subset_mean,Delta,Avg_count,Subset_count,Avg_stdev,Subset_stdev,Significance
"DMA: Huntsville et al, AL (691)",A_Average daily commute - round trip (miles),,27.81084011,14.1,-13.71084011,1845,10,28.77827746,11.50313967,2.022154119
lifestage_2: Post-Family (No Children/Age Res 45+),"S_Interactive Information System (e.g., OnStar, mbrace, iDrive, etc.)",,5.338218715,4.969230769,-0.368987946,887,195,1.541939789,1.361880493,2.0219541
region: Northeast Region,PSY_Fuel economy is a leading consideration in my purchase decision,,4.088208156,3.98245614,-0.105752016,5419,1140,0.962362636,0.978095982,2.021284885
state: Delaware,D_Married With Children,,0.223832528,0.037037037,-0.186795491,5589,27,0.416848435,0.19245009,2.020968196
model: Subaru Impreza Sdn,PR_Technical Innovations,,4.054252713,3.711111111,-0.343141602,5714,90,0.886641794,0.96272605,2.020870611
occupation: Factory Worker - Retired,D_Total In Household,,2.626203209,2.058823529,-0.567379679,5610,17,1.390512906,0.658652814,2.020753059
lifestage: Married Without Children,PR_Overall Exterior Styling,,4.121774856,4.042600897,-0.079173959,6085,1784,0.898786971,0.880002273,2.020690027
region: Western Region,D_Post-Family - Income $80K or Less,,0.294311146,0.244781784,-0.049529362,5168,1054,0.45577658,0.430161855,2.020580196
"occupation: Administrative, Clerical - Retired",IS_Any Other Online/Internet Searches,,0.103374397,0.029411765,-0.073962633,5601,102,0.304474437,0.169792089,2.019736027
ethnicity: Hispanic/Latino,D_South Asian,,0.007792597,0,-0.007792597,6673,650,0.087937656,0,2.019584591
occupation: Not Employed,D_Post-Family (No Children/Age Res 45+),,0.45069658,0.305084746,-0.145611835,5527,118,0.497608253,0.462406832,2.018820938
"DMA: Minneapolis-St. Paul, MN (613)",D_People 18 or Older,,2.014973262,1.642857143,-0.372116119,5610,56,0.988320297,0.818614604,2.018605874
generation: Leading Edge Boomers (1946 - 1959),PR1_Fun to drive,,0.025296964,0.010998308,-0.014298656,4546,1182,0.157042838,0.104338658,2.018449785
model: Buick Verano,A_Average daily commute - round trip (miles),,27.81084011,20.39393939,-7.416900714,1845,99,28.77827746,20.98970505,2.017965424
lifestage_3: Younger-Family - Income Over $80K,S_Freedom From Squeaks And Rattles,,5.618090452,5.036363636,-0.581726816,2189,55,1.28426058,1.261445913,2.017467362
education: High School Graduate,PR1_Overall value for the money,,0.084469864,0.047801147,-0.036668716,4546,523,0.278121774,0.21354951,2.016802161
"DMA: Columbia, SC (546)",S_Badging (Exterior logos/identifiers),,5.525834476,4.5,-1.025834476,2187,8,1.23521269,0.755928946,2.016127929
lifestage_3: Younger-Family - Income Over $80K,PR_Driver Seat Adjustability,,4.30061046,4.110671937,-0.189938524,6061,253,0.804103311,0.892875651,2.015699779
occupation: Executive/Managerial - Retired,PSY_I want vehicles that provide that open-air driving experience,,3.412158394,3.172413793,-0.239744601,5379,232,1.146018772,1.071276797,2.0149145
education: Some Post-Grad,PR_Overall Image of the Vehicle,,4.229422067,4.057324841,-0.172097226,5710,314,0.852952493,0.895441335,2.014715716
"DMA: Atlanta, GA (524)",PR_Leasing Terms,,3.09066918,2.579831933,-0.510837247,5305,119,1.680862701,1.649323427,2.014646468
dispose segment: Luxury Car,PSY_I want the most versatility in my interior,,3.678365831,3.477443609,-0.200922222,5385,266,0.997855205,0.960276418,2.014375627
lifestage_2: Post-Family (No Children/Age Res 45+),S_Future Trade-In Or Resale Value,,5.227208314,5.034305317,-0.192902996,2117,583,1.348827258,1.21227534,2.01395969
state: Michigan,PSY_I just want the basics on my vehicle - no extras,,2.609139885,2.314136126,-0.295003759,5383,191,1.33914774,1.199016774,2.013096464
ethnicity: Asian,S_OVERALL Interior Workmanship,,5.790825688,5.287878788,-0.5029469,2180,66,1.169565197,1.199553141,2.012573086
"occupation: Teacher, Educator - Retired",PSY_My vehicle gives me a feeling of adventure,,3.420572917,3.103448276,-0.317124641,5376,174,1.1333494,1.240310261,2.01244836
ethnicity: Native American,IS_TrueCar,,0.183360114,0.044444444,-0.13891567,5601,45,0.386996023,0.208409077,2.01229259
lifestage_2: Pre-Family (No Children/Age Res <45),IS_Manufacturer Brochures,,0.057311194,0.032298137,-0.025013058,5601,805,0.232457026,0.176900654,2.012213285
"DMA: Las Vegas, NV (839)",U_Personal uses - Transporting people,,0.827832293,0.2,-0.627832293,1121,5,0.377694643,0.447213595,2.012193169
generation: Generation X (1965 - 1978),PT_I get a new vehicle on a regular basis,,0.077347016,0.052747253,-0.024599764,5262,1365,0.267166653,0.223610401,2.012188069
lifestage: Married With Children,S_OVERALL Interior Workmanship,,5.790825688,5.507246377,-0.283579311,2180,207,1.169565197,1.173615959,2.011318355
model: Subaru Impreza Sdn,PSY_I'm Curious and Open to Experiences,,3.860003709,3.516129032,-0.343874676,5393,93,0.958843618,0.984807454,2.010233984
model: Subaru Impreza Sdn,PR_Overall Interior Styling,,4.180333278,3.870967742,-0.309365536,6061,93,0.823529365,0.887421845,2.010064611
model: Subaru Impreza Sdn,PSY_I prefer vehicles that provide superior acceleration,,3.71792976,3.311111111,-0.406818649,5410,90,1.05036426,1.14797765,2.008693715
lifestage: Married With Children,PR_Passing Capability,,4.093941909,3.988603989,-0.10533792,6025,1053,0.912400632,0.961157833,2.007870603
generation: Matures (1945 and Earlier),S_Interior Storage,,5.475402299,5.252873563,-0.222528736,2175,435,1.278301329,1.281006146,2.007180114
lifestage: Other Without Children,D_Post-Family - Income Over $80K,,0.148413313,0.060869565,-0.087543747,5168,115,0.355543614,0.240137261,2.006838181
dispose segment: Smaller Car,D_Children 6 To 12,,0.234937611,0.186689227,-0.048248384,5610,1773,0.593593934,0.51676513,2.006801007
education: Post-Graduate Degree,PR_Ease of Front Seat Entry,,4.190656983,4.099236641,-0.091420341,6058,1179,0.857407697,0.871833009,2.006535964
shop segment: Large Pickup,D_Gender_N,,1.45186863,1.225,-0.22686863,7064,40,0.49771321,0.422902062,2.005859268
lifestage_3: Younger-Family - Income Over $80K,PR_Driver Armrests,,3.899154089,3.66798419,-0.231169899,6029,253,1.002542032,1.091290688,2.005704296
state: Massachusetts,PSY_I prefer vehicles that provide superior acceleration,,3.71792976,3.391666667,-0.326263093,5410,120,1.05036426,1.063495373,2.005641181
state: Minnesota,UF_Personal Use: School Transportation by Student,,0.443026436,0.090909091,-0.352117345,1097,11,1.108481384,0.301511345,2.005451165
lifestage: Married Without Children,PR_Seating Versatility/Stowaway,,3.764960827,3.676136364,-0.088824463,5999,1760,1.035272778,0.9800157,2.005391226
lifestage_3: Older-Family - Income Over $80K,PSY_I would pay significantly more for environmentally friendly vehicle,,2.750092764,2.473958333,-0.276134431,5390,192,1.255041786,1.129958049,2.005078208
lifestage_3: Younger-Family - Income Over $80K,S_Driver Armrests,,5.349169742,4.888888889,-0.460280853,2168,54,1.372597285,0.984151136,2.004926436
lifestage: Married Without Children,PR_Dealer Location,,3.630715532,3.532039976,-0.098675556,5730,1701,1.151970851,1.062046809,2.004503071
residence: Farming Area,IS_Mobile Apps,,0.05124085,0.016064257,-0.035176593,5601,249,0.220508291,0.125975916,2.003868392
occupation: Technical Specialty,PR_Leasing Terms,,3.09066918,2.804878049,-0.285791131,5305,369,1.680862701,1.601588223,2.003361331
marital status: Married,PR_Overall Performance of Sound System,,4.041032429,3.976304654,-0.064727774,6044,3545,0.923144942,0.931637553,2.002849968
problem: Moderate,S_OVERALL Exterior Styling,,5.913855971,5.588235294,-0.325620677,2194,170,1.126458882,1.243150394,2.002188547
model: Honda Accord Sdn,"S_Interactive Information System (e.g., OnStar, mbrace, iDrive, etc.)",,5.338218715,4.666666667,-0.671552048,887,51,1.541939789,1.380821012,2.001897237
model: Volkswagen Passat Sdn,PR1_Overall exterior styling,,0.055873295,0.008333333,-0.047539962,4546,120,0.229702148,0.091287093,2.001762064
model: Subaru Legacy,A_Mpg - City,,26.81672394,25.23076923,-1.58595471,1746,104,6.73720167,4.582005262,2.001689643
region: Northeast Region,D_Hispanic/Latino,,0.100704331,0.073508006,-0.027196325,6673,1374,0.30095937,0.261063559,2.001492604
ethnicity: White/Caucasian,PSY_Fuel economy is a leading consideration in my purchase decision,,4.088208156,4.020943796,-0.06726436,5419,3772,0.962362636,0.964133438,2.001268002
model: Honda Accord Hybrid Sdn,PSY_I prefer vehicles that provide superior acceleration,,3.71792976,3.266666667,-0.451263093,5410,60,1.05036426,1.039339208,2.001251529
lifestage_2: Post-Family (No Children/Age Res 45+),D_Metropolitan City,,0.169271996,0.140880503,-0.028391493,6717,2385,0.3750199,0.3479712,1.999713618
lifestage_3: Post-Family - Income Over $80K,PSY_Fuel economy is a leading consideration in my purchase decision,,4.088208156,3.950233281,-0.137974875,5419,643,0.962362636,1.009616892,1.998766223
lifestage: Married Without Children,PR_Interior Storage,,3.94982613,3.872112676,-0.077713454,6039,1775,0.907971152,0.865201483,1.99861535
shop segment: Luxury Car,PSY_Luxury is Not Important Unless it Has Purpose,,3.472319941,3.21969697,-0.252622971,5401,264,1.121516156,1.219701353,1.997873553
lifestage: Married With Children,S_Appearance of Tires,,5.59655485,5.306220096,-0.290334755,2206,209,1.234598325,1.213707594,1.99749133
ethnicity: Asian,S_Interior Lighting,,5.680821918,5.169230769,-0.511591149,2190,65,1.222952138,1.219236836,1.997296229
model: Nissan Altima Sdn,S_Driver Seat Adjustability,,5.725103258,5.524953789,-0.200149469,2179,541,1.281058026,1.262649422,1.996993509
state: Minnesota,D_People 18 or Older,,2.014973262,1.661290323,-0.353682939,5610,62,0.988320297,0.828657781,1.996521683
lifestage_3: Post-Family - Income Over $80K,S_Seating Versatility/Stowaway,,5.397854478,5.10989011,-0.287964368,2144,182,1.280462711,1.116927014,1.995383
gender: Female,IS_Kelly Blue Book (KBB),,0.225316908,0.192874693,-0.032442215,5601,2442,0.417828156,0.394636314,1.995230452
dispose segment: SUV,D_Asian,,0.048553874,0.022044088,-0.026509786,6673,499,0.214949573,0.146974269,1.995195008
gender: Male,PR_Warranty Coverage,,4.368025188,4.309085233,-0.058939955,5717,3203,0.804300352,0.818662248,1.99508373
education: Some College,IS_Kelly Blue Book (KBB),,0.225316908,0.184988628,-0.04032828,5601,1319,0.417828156,0.388435615,1.994050873
shop segment: Smaller Car,PR_Interior Colors,,3.971712159,3.885496183,-0.086215976,6045,1572,0.94786,0.92265817,1.994014842
"occupation: Administrative, Clerical",Shop_# Dealerships Visited Prior to Purchase,,1.561205273,1.318807339,-0.242397934,5310,436,1.492216781,1.479892649,1.993323834
lifestage_3: Younger-Family - Income Over $80K,S_OVERALL Interior Workmanship,,5.790825688,5.303571429,-0.48725426,2180,56,1.169565197,1.077364509,1.992994414
"DMA: Miami-Ft. Lauderdale, FL (528)",IS_JD Power and Associates,,0.063917158,0.009708738,-0.05420842,5601,103,0.244627143,0.098532928,1.992725471
lifestage_3: Older-Family - Income Over $80K,PR_Overall Interior Versatility,,4.072492552,3.886363636,-0.186128916,6042,220,0.86176179,0.82251172,1.992528008
lifestage: Married With Children,PR_Braking,,4.491261797,4.407216495,-0.084045302,5722,970,0.702339971,0.743842619,1.992108674
lifestage_3: Younger-Family - Income Over $80K,PSY_I chose my vehicle to reward myself for my hard work,,3.351536468,3.049019608,-0.30251686,5402,204,1.264313147,1.289422301,1.99210154
education: Post-Graduate Degree,PR_Overall Environmental Friendliness,,3.956103533,3.845070423,-0.11103311,5718,1136,1.017597653,1.047225154,1.991988089
model: Ford Fusion Energi,PR_Magazine/Newspaper/TV Reviews,,3.001439367,2.457142857,-0.54429651,5558,35,1.367242442,0.950011057,1.991603036
lifestage_3: Younger-Family - Income Over $80K,PR_Overall Power and Pickup,,4.197292389,4,-0.197292389,6057,253,0.852887279,0.938590635,1.991152225
problem: No Problems,PR1_Overall exterior styling,,0.055873295,0.033598585,-0.02227471,4546,1131,0.229702148,0.180273278,1.990734337
model: Honda Accord Hybrid Sdn,PR_Interior Storage,,3.94982613,3.523809524,-0.426016606,6039,63,0.907971152,1.01373062,1.989293908
model: Kia Optima,PR_Reputation/Prestige of Manufacturer,,4.224375764,3.972972973,-0.251402791,5727,148,0.88103759,0.918042475,1.98910394
education: Some Post-Grad,PSY_Price is most important to me when buying a new vehicle,,3.809267841,3.603278689,-0.205989152,5395,305,1.033973925,1.068380355,1.988893464
"DMA: Los Angeles, CA (803)",D_Age 35 + / Income $70K or Less / College Degree,,0.130931598,0.080310881,-0.050620717,6301,386,0.337352303,0.272126607,1.988464816
model: Ford Fusion Energi,"U_Other uses - Carrying large items (luggage, bike, etc.)",,0.66190901,0.142857143,-0.519051867,1121,7,0.473270833,0.377964473,1.988324438
lifestage: Other With Children,D_Total Family Pre-Tax Income,,80.46763704,57.43589744,-23.0317396,6458,39,68.15409225,42.57921093,1.988298359
occupation: Executive/Managerial,PR_Leasing Terms,,3.09066918,2.849823322,-0.240845858,5305,566,1.680862701,1.661769492,1.98719306
model: Hyundai Sonata Hybrid,PR_4WD/AWD Availability,,2.932134248,2.449438202,-0.482696046,5393,89,1.494373792,1.3652442,1.986933245
dispose segment: Smaller Car,D_People 18 or Older,,2.014973262,1.935138184,-0.079835078,5610,1773,0.988320297,0.865549869,1.985983236
state: Oregon,D_Total Family Pre-Tax Income,,80.46763704,60.64516129,-19.82247575,6458,31,68.15409225,32.4227784,1.984642618
lifestage_3: Younger-Family - Income Over $80K,PR_Magazine/Newspaper/TV Reviews,,3.001439367,2.706666667,-0.2947727,5558,225,1.367242442,1.320578877,1.984554203
model: Ford Fusion,PSY_I just want the basics on my vehicle - no extras,,2.609139885,2.285714286,-0.323425599,5383,182,1.33914774,1.30689387,1.984444666
occupation: Health Care - Retired,D_Age < 35 / Income More than $70K / College Degree,,0.056181558,0,-0.056181558,6301,71,0.230290268,0,1.984118219
lifestage: Married With Children,PR_Overall Quietness,,4.193345473,4.09914204,-0.094203433,6041,1049,0.848466916,0.864751447,1.983741642
lifestage_3: Older-Family - Income Over $80K,S_Sound of Doors/Trunk/Hatch Shutting,,5.802559415,5.186046512,-0.616512903,2188,43,1.183777263,1.200313728,1.983610344
lifestage_3: Post-Family - Income $80K or Less,UF_Personal Use: Transporting People,,2.346014493,2.076246334,-0.269768158,1104,341,1.319297618,1.335067299,1.982941514
education: Some Post-Grad,PR_Advice of Friends/Relatives,,3.152197213,2.900958466,-0.251238747,5598,313,1.369694711,1.320365276,1.981793968
residence: Farming Area,D_Age 35 + / Income More than $70K / College Degree,,0.289001746,0.205673759,-0.083327987,6301,282,0.453334703,0.404911668,1.980995846
ethnicity: Native American,D_Education_N,,5.420108776,4.66,-0.760108776,6803,50,1.757469426,1.611312053,1.980952105
occupation: Technical Specialty,PR_Overall Experience with Selling Dealership,,4.209180098,4.034666667,-0.174513431,5708,375,0.941446695,1.006063613,1.980927309
occupation: Other,D_Post-Family - Income $80K or Less,,0.294311146,0.226890756,-0.067420389,5168,476,0.45577658,0.419262004,1.980621565
lifestage_3: Younger-Family - Income Over $80K,PR_Advertising/Promotion,,3.31087344,3.030837004,-0.280036436,5610,227,1.288471913,1.263483282,1.980597966
shop segment: Luxury Car,D_Younger-Family - Income $80K or Less,,0.143575851,0.071823204,-0.071752647,5168,181,0.350693062,0.258911164,1.980139771
education: Post-Graduate Degree,PR_Technical Innovations,,4.054252713,3.961199295,-0.093053418,5714,1134,0.886641794,0.876431004,1.980093738
"DMA: St. Louis, MO (609)",D_Children 6 To 12,,0.234937611,0.106060606,-0.128877005,5610,66,0.593593934,0.310274711,1.980089935
lifestage_3: Younger-Family - Income Over $80K,PSY_I want my vehicle to stand out in a crowd,,3.490713224,3.225490196,-0.265223028,5384,204,1.174812736,1.135255556,1.97962044
model: Buick Verano,PSY_I want to be able to traverse any terrain,,2.231102733,1.924623116,-0.306479618,5305,199,1.376013821,1.294645825,1.979252133
lifestage_3: Post-Family - Income Over $80K,S_Driver Seat Adjustability,,5.725103258,5.431693989,-0.293409269,2179,183,1.281058026,1.155246453,1.978517625
lifestage_2: Younger-Family (Age Oldest Child 1-12),S_Freedom From Squeaks And Rattles,,5.618090452,5.239726027,-0.378364425,2189,146,1.28426058,1.355981866,1.978355013
shop segment: Smaller Car,PSY_Vehicles are a 'tool' or a part of the 'gear' in an active outdoors lifestyle,,3.040366287,2.926404132,-0.113962155,5351,1549,1.255811231,1.200670052,1.978042717
"DMA: Baltimore, MD (512)",UF_Personal Use: School Transportation by Student,,0.443026436,0.125,-0.318026436,1097,16,1.108481384,0.341565026,1.977997155
state: Connecticut,PR1_Overall exterior styling,,0.055873295,0,-0.055873295,4546,72,0.229702148,0,1.977782719
model: Subaru Legacy,PSY_I see my vehicle as an extension of my personality,,3.598333333,3.330316742,-0.268016591,5400,221,1.177817525,1.196371176,1.977356474
generation: Matures (1945 and Earlier),PR_Overall Interior Styling,,4.180333278,4.084353741,-0.095979537,6061,735,0.823529365,0.74626232,1.976263684
dispose segment: Minivan,PR_Leasing Terms,,3.09066918,2.517647059,-0.573022121,5305,85,1.680862701,1.593227966,1.976154527
lifestage_3: Pre-Family - Income Over $80K,D_Small Town Or Rural City,,0.340777133,0.243362832,-0.097414301,6717,226,0.474005831,0.430064823,1.975883149
"DMA: Detroit, MI (505)","PSY_I want a basic, no-frills vehicle that does the job",,2.647792885,2.258333333,-0.389459552,5369,120,1.370256779,1.28662044,1.975353561
lifestage: Married Without Children,PSY_I prefer vehicles that provide superior handling and cornering agility,,4.087527757,4.00625,-0.081277757,5404,1600,0.906676183,0.869875776,1.975313142
ethnicity: White/Caucasian,D_Partnered With Children,,0.014850599,0.007167431,-0.007683168,5589,3488,0.120965603,0.084368832,1.97529343
state: Florida,PT_Previous vehicle was damaged or had to be replaced,,0.155074116,0.105050505,-0.050023611,5262,495,0.362009724,0.306928672,1.975240064
lifestage_3: Post-Family - Income Over $80K,PR_Acceleration From Stop,,4.031105228,3.913043478,-0.11806175,6044,690,0.93916848,0.898945204,1.97509695
lifestage_3: Post-Family - Income Over $80K,S_Interior Lighting,,5.680821918,5.39673913,-0.284082787,2190,184,1.222952138,1.126040608,1.974464358
education: Post-Graduate Degree,D_Farming Area,,0.045109424,0.027047913,-0.01806151,6717,1294,0.207559576,0.162285787,1.97331117
model: Subaru Impreza Sdn,PR_Driver Armrests,,3.899154089,3.522222222,-0.376931866,6029,90,1.002542032,1.083354941,1.97325566
"DMA: Los Angeles, CA (803)",D_Age Bracket,,50.00797679,47.36385542,-2.644121373,6895,415,16.62206635,16.05004687,1.97308085
"occupation: Administrative, Clerical - Retired",D_Older-Family - Income $80K or Less,,0.105843653,0.016666667,-0.089176987,5168,60,0.307667175,0.129099445,1.972944349
lifestage_3: Older-Family - Income Over $80K,S_Maneuverability,,5.871480472,5.348837209,-0.522643263,2202,43,1.122774233,1.020824152,1.972899447
gender: Female,PSY_There are lots of different brands of vehicles that I would consider buying,,3.339570211,3.237223169,-0.102347043,5398,2348,1.258844405,1.28258412,1.972627551
lifestage_2: Post-Family (No Children/Age Res 45+),S_Affordable to Buy,,5.36443418,5.175468484,-0.188965696,2165,587,1.338582414,1.224693837,1.972113893
lifestage_3: Post-Family - Income Over $80K,PR1_Overall exterior styling,,0.055873295,0.028475712,-0.027397583,4546,597,0.229702148,0.166467003,1.971896467
lifestage_3: Older-Family - Income Over $80K,S_Side Mirrors,,5.682539683,5.139534884,-0.543004799,2205,43,1.240165995,1.05968089,1.971629317
residence: Small Town Or Rural City,D_Hispanic/Latino,,0.100704331,0.078180212,-0.022524119,6673,2264,0.30095937,0.268514269,1.97072559
model: Ford Fusion Energi,PR_Acceleration From Stop,,4.031105228,3.536585366,-0.494519862,6044,41,0.93916848,0.951250781,1.970361217
"DMA: Philadelphia, PA (504)",D_Hispanic/Latino,,0.100704331,0.048780488,-0.051923843,6673,246,0.30095937,0.215847964,1.969879697
lifestage_3: Older-Family - Income Over $80K,PR_Reputation/Prestige of Manufacturer,,4.224375764,4.014285714,-0.21009005,5727,210,0.88103759,0.920154821,1.969780462
dispose segment: Luxury Car,OA_Rate Future Purchase Another Vehicle From Same Manufac.,,4.185804702,3.9,-0.285804702,2212,110,0.840148774,0.898010032,1.96969281
marital status: Other,IS_Mobile Apps,,0.05124085,0.014285714,-0.036955136,5601,210,0.220508291,0.118949606,1.969101376
generation: Generation X (1965 - 1978),PR_Braking,,4.491261797,4.416916168,-0.074345629,5722,1336,0.702339971,0.766712763,1.968998691
cross shop: No,IS_Car and Driver,,0.112836993,0.087676571,-0.025160423,5601,2053,0.316421684,0.282892861,1.968912332
shop segment: No Other Make Considered,IS_Car and Driver,,0.112836993,0.087676571,-0.025160423,5601,2053,0.316421684,0.282892861,1.968912332
model: Toyota Camry Hybrid,PR_Acceleration From Stop,,4.031105228,3.684931507,-0.346173721,6044,73,0.93916848,0.895617607,1.968866827
model: Ford Fusion,D_Older-Family (Age Oldest Child 13-17),,0.155780713,0.06779661,-0.087984103,5527,118,0.362680136,0.252468617,1.968531112
gender: Male,PR_Seating Versatility/Stowaway,,3.764960827,3.693417493,-0.071543334,5999,3327,1.035272778,1.014519642,1.968340588
occupation: Professional Specialty - Retired,IS_Mobile Apps,,0.05124085,0.007751938,-0.043488912,5601,129,0.220508291,0.088045091,1.968127367
"DMA: San Diego, CA (825)",D_Farming Area,,0.045109424,0,-0.045109424,6717,89,0.207559576,0,1.968005295
"occupation: Police, Postal, Fire - Retired",PSY_My vehicle is a reflection of my achievement,,3.142405063,2.571428571,-0.570976492,5372,56,1.29921708,1.291329728,1.967392303
gender: Male,S_Front Seat Roominess,,5.730980752,5.592933948,-0.138046804,2182,1302,1.21187115,1.220581568,1.967314943
problem: No Problems,PSY_I chose my vehicle to reward myself for my hard work,,3.351536468,3.23364486,-0.117891608,5402,1605,1.264313147,1.285683488,1.967276489
"occupation: Teacher, Educator",PSY_I want the most versatility in my interior,,3.678365831,3.480701754,-0.197664077,5385,285,0.997855205,1.002011814,1.967083589
education: Some Post-Grad,PSY_Vehicles are a 'tool' or a part of the 'gear' in an active outdoors lifestyle,,3.040366287,2.805280528,-0.235085759,5351,303,1.255811231,1.225436199,1.96630877
lifestage_2: Pre-Family (No Children/Age Res <45),UP_Personal uses - Pleasure driving,,0.116116116,0.044025157,-0.072090959,999,159,0.320524574,0.205799212,1.965881646
model: Volkswagen Passat Sdn,PR_Towing Capability,,2.577997022,2.230769231,-0.347227791,5372,156,1.477209679,1.309253192,1.965801709
lifestage_3: Younger-Family - Income $80K or Less,PR1_4WD/AWD availability,,0.015838099,0.002105263,-0.013732836,4546,475,0.124862659,0.045883147,1.965773504
"DMA: Memphis, TN (640)",Shop_# Dealerships Visited Prior to Purchase,,1.561205273,0.971428571,-0.589776702,5310,35,1.492216781,1.042782316,1.96558805
state: Florida,IS_CarGurus,,0.021246206,0.005555556,-0.01569065,5601,540,0.144216913,0.074397186,1.96518414
"occupation: Administrative, Clerical - Retired",IS_JD Power and Associates,,0.063917158,0.009803922,-0.054113236,5601,102,0.244627143,0.099014754,1.965039555
state: Massachusetts,"PSY_I prefer vehicles that provide the softest, most comfortable ride quality",,4.142883583,3.833333333,-0.30955025,5403,120,0.93233631,1.031710119,1.964895317
model: Subaru Legacy,D_Total In Household,,2.626203209,2.333333333,-0.292869875,5610,147,1.390512906,1.068434608,1.964553843
model: Ford Fusion Hybrid,PR_Future Trade-In or Resale Value,,4.099842078,3.418604651,-0.681237426,5699,43,1.022748437,1.349295374,1.964141167
model: Honda Accord Sdn,PR1_Price/deal offered,,0.065992081,0.033542977,-0.032449104,4546,477,0.248295565,0.180238593,1.963986112
lifestage_3: Pre-Family - Income Over $80K,PR_Ground Clearance,,3.5314824,3.257575758,-0.273906642,6051,198,1.120858039,1.170412822,1.96336508
"DMA: Boston et al, MA-NH (506)",PSY_I prefer vehicles that provide superior acceleration,,3.71792976,3.391666667,-0.326263093,5410,120,1.05036426,1.086941846,1.963264834
education: Some Post-Grad,PSY_I want vehicles that provide that open-air driving experience,,3.412158394,3.184210526,-0.227947867,5379,304,1.146018772,1.196369936,1.963228934
problem: Moderate,S_Cup Holders,,5.45626151,5.117647059,-0.338614451,2172,170,1.314070971,1.309155423,1.963098838
lifestage_3: Younger-Family - Income Over $80K,PR_Reputation/Prestige of Manufacturer,,4.224375764,4.008849558,-0.215526206,5727,226,0.88103759,0.984281579,1.962259517
problem: Serious,S_Blind Spot Warning,,5.741657696,4.864864865,-0.876792832,929,37,1.442877067,1.583985167,1.962173941
state: Illinois,D_Older-Family - Income $80K or Less,,0.105843653,0.04519774,-0.060645913,5168,177,0.307667175,0.208326913,1.96171581
lifestage_2: Post-Family (No Children/Age Res 45+),S_OVERALL Value For The Money,,5.522464104,5.339527027,-0.182937077,2159,592,1.277280709,1.204022494,1.961637407
"DMA: Tampa et al, FL (539)",PSY_I chose my vehicle to reward myself for my hard work,,3.351536468,2.992125984,-0.359410484,5402,127,1.264313147,1.231182571,1.961191735
problem: Serious,S_OVERALL Interior Workmanship,,5.790825688,5.148648649,-0.642177039,2180,74,1.169565197,1.677264835,1.960831055
lifestage_2: Post-Family (No Children/Age Res 45+),IS_I do not use/have access to the internet,,0.00392787,0,-0.00392787,5601,2044,0.0625551,0,1.960745626
marital status: Married,PSY_I want to be able to tow heavy loads,,2.003389192,1.912835249,-0.090553943,5311,3132,1.293176282,1.217251175,1.960647275
"DMA: Norfolk et al, VA (544)",D_Total Family Pre-Tax Income,,80.46763704,62.93478261,-17.53285443,6458,46,68.15409225,35.66162094,1.960162841
shop segment: Luxury Car,D_Small Town Or Rural City,,0.340777133,0.25093633,-0.089840803,6717,267,0.474005831,0.434366127,1.960118068
"DMA: Buffalo, NY (514)",Shop_First Vehicle Purch/Leased New ?,,0.248989975,0.076923077,-0.172066898,6683,39,0.432460347,0.269952762,1.960013007
model: Honda Accord Sdn,PSY_I will easily switch brands for price or features,,3.323011311,3.120901639,-0.202109672,5393,488,1.302482386,1.325679713,1.959836398
lifestage: Married With Children,PR_Placement/Ease of Reading and Using Controls,,4.157279861,4.061791967,-0.095487893,5735,971,0.827894144,0.856925987,1.959800448
occupation: Other,D_Other Without Children,,0.023081052,0.006097561,-0.016983491,5589,492,0.150174406,0.077927682,1.95960342
state: Nevada,U_Personal uses - Transporting people,,0.827832293,0.285714286,-0.542118007,1121,7,0.377694643,0.487950036,1.959320775
occupation: Skilled Trade - Retired,D_Total # Children In Household,,0.614795009,0.214285714,-0.400509295,5610,56,1.018685474,0.908831132,1.95890019
lifestage: Married With Children,S_Overall Experience with Service Dept.,,5.690191388,5.28742515,-0.402766238,1672,167,1.440526356,1.541012796,1.958289008
lifestage_3: Younger-Family - Income Over $80K,PR_Overall Performance of Sound System,,4.041032429,3.837301587,-0.203730842,6044,252,0.923144942,0.982576021,1.957986178
model: Volkswagen Passat Sdn,PR_Haul Cargo in Bed,,2.390275112,1.902777778,-0.487497334,3126,72,1.519985722,1.246513134,1.957934267
marital status: Partnered,D_Age 35 + / Income More than $70K / College Degree,,0.289001746,0.202380952,-0.086620793,6301,252,0.453334703,0.402574244,1.957849912
model: Buick Regal,PSY_There are lots of different brands of vehicles that I would consider buying,,3.339570211,3.015789474,-0.323780738,5398,190,1.258844405,1.358789984,1.957722858
generation: Generation X (1965 - 1978),Shop_Satisfaction with Disposed Veh,,5.191627212,4.987253766,-0.204373446,4013,863,1.546845653,1.718893169,1.957599655
lifestage_3: Younger-Family - Income Over $80K,UP_Personal uses - Shopping/errands,,0.201201201,0.058823529,-0.142377672,999,51,0.40109889,0.23763541,1.957079235
"DMA: Los Angeles, CA (803)",D_African American/Black,,0.145212049,0.093198992,-0.052013056,6673,397,0.352340905,0.291077922,1.956677512
"DMA: Louisville, KY (529)",D_Education_N,,5.420108776,4.575757576,-0.8443512,6803,33,1.757469426,1.458387445,1.956581698
